🔍 INFEASIBLE CONSTRAINTID

📦 MUUTUJATE VÄÄRTUSED

PCC_kW[0]                                = -121.0458
PCC_kW[1]                                = -124.2140
PCC_kW[2]                                = -126.6727
PCC_kW[3]                                = -128.3926
PCC_kW[4]                                = -129.3450
PCC_kW[5]                                = -129.5203
PCC_kW[6]                                = -128.9161
PCC_kW[7]                                = -153.7214
PCC_kW[8]                                = -151.3541
PCC_kW[9]                                = -148.0408
PCC_kW[10]                               = -143.9260
PCC_kW[11]                               = -176.8863
PCC_kW[12]                               = -169.7241
PCC_kW[13]                               = -161.7670
PCC_kW[14]                               = -153.1146
PCC_kW[15]                               = -141.8640
PCC_kW[16]                               = -132.4156
PCC_kW[17]                               = -122.6106
PCC_kW[18]                               = -112.3623
PCC_kW[19]                               = -82.0727
PCC_kW[20]                               = -73.6604
PCC_kW[21]                               = -65.3694
PCC_kW[22]                               = -57.1438
PCC_kW[23]                               = -42.0105
PCC_kW[24]                               = -35.3516
PCC_kW[25]                               = -29.0428
PCC_kW[26]                               = -23.1299
PCC_kW[27]                               = -21.5334
PCC_kW[28]                               = -15.4220
PCC_kW[29]                               = -9.9540
PCC_kW[30]                               = -5.1245
PCC_kW[31]                               = -3.6467
PCC_kW[32]                               = 1.6879
PCC_kW[33]                               = 4.2232
PCC_kW[34]                               = 4.3257
PCC_kW[35]                               = 4.1257
PCC_kW[36]                               = 4.1257
PCC_kW[37]                               = 4.1257
PCC_kW[38]                               = 4.1257
PCC_kW[39]                               = 4.3257
PCC_kW[40]                               = 4.3257
PCC_kW[41]                               = 4.3257
PCC_kW[42]                               = 4.3257
PCC_kW[43]                               = 4.3257
PCC_kW[44]                               = 4.3257
PCC_kW[45]                               = 4.3257
PCC_kW[46]                               = 4.3257
PCC_kW[47]                               = 4.3257
PCC_kW[48]                               = 4.3257
PCC_kW[49]                               = 4.3257
ESS_kW[0]                                = 0.0000
ESS_kW[1]                                = 0.0000
ESS_kW[2]                                = 0.0000
ESS_kW[3]                                = 0.0000
ESS_kW[4]                                = 0.0000
ESS_kW[5]                                = 0.0000
ESS_kW[6]                                = 0.0000
ESS_kW[7]                                = 0.1025
ESS_kW[8]                                = 0.0000
ESS_kW[9]                                = 0.0000
ESS_kW[10]                               = 0.0000
ESS_kW[11]                               = 0.2000
ESS_kW[12]                               = 0.2000
ESS_kW[13]                               = 0.2000
ESS_kW[14]                               = 0.2000
ESS_kW[15]                               = 0.0000
ESS_kW[16]                               = 0.0000
ESS_kW[17]                               = 0.0000
ESS_kW[18]                               = 0.2000
ESS_kW[19]                               = 0.0000
ESS_kW[20]                               = 0.0000
ESS_kW[21]                               = 0.0000
